"","","Date","Time","Session","Presenter","Venue","Title","Abstract"
"11","⊕","2018-07-11","14:30","Poster lightning","Nicholas Spyrison","TBD","tourr; visualizing higher dimensions vs alternatives","Visualizing in higher (greater than p=3 numeric dimensions) can be messy and unintuitive. Here we explain the methodology and explore the functionality of tourr. We offer a vignette for use and contrast with other higher dimensional visualization methods.  The R package, tourr (2011, Wickham, H., D. Cook), gives us the means to animate the projection as we rotate though p-dimensions. This is achieved by varying the contributions from each dimension, via random walk, predefined path, or optimizing an index.  Wickham, H., D. Cook, and H. Hofmann (2015). Visualising statistical models: Removing the blindfold (withdiscussion). Statistical Analysis and Data Mining 8(4), 203–225.  Wickham, H., D. Cook, H. Hofmann, and A. Buja (2011). tourr: An r package for exploring multivariate data withprojections. Journal of Statistical Software 40(2), http://www.jstatsoft.org/v40.  Asimov D (1985). “The Grand Tour: A Tool for Viewing Multidimensional Data.” SIAM Journal of Scientific and Statistical Computing, 6(1), 128–143."
"12","⊕","2018-07-11","14:30","Poster lightning","Motoyuki Oki","TBD","Time Series Digger : Automatic time series analysis for data science in R","Exploratory Data Analysis (EDA) is an essential process for understanding time series and conducting useful feature extraction.  We introduce ""Time Series Digger"", which provides automatic and programmable EDA in R to accelerate time series analysis for data scientists. Time Series Digger is now deployed on data science platform in NTT Communications which is one of the largest Internet service providers in Japan.  We show the effectiveness with real use cases.  Time Series Digger consists of three parts. First, it provides automatic and comprehensive time series visualization on various time interval to understand the time series. Second, it provides basic and programmable feature extraction from uni- or multi-variate time series. Third, it applies the features to multiple time series anomaly detection methods.  A number of various packages to treat with time series including forecasting and anomaly detection methods exist in R packages. To the best of our knowledge, no packages have focused on efficient and comprehensive analysis process, especially for multiple time series. Our package and contributions should effectively work for R users that face similar problems."
"13","⊕","2018-07-11","14:30","Poster lightning","Volha Tryputsen","TBD","Antibody characterization with next generation sequencing using Group My Abs shiny app","Next-generation sequencing (NGS), phage display technology and high throughput capacities enables biologists in drug discovery to characterize antibodies (Abs) based on their HCDR3 sequences and further group them into families before moving to hit-to-lead stage of drug discovery and development. This enables diversification of Ab portfolio and insures back up options if Ab candidate fails. However, there was no method or software available in-house to support Ab discovery with capacities to apply biophysical rules to classify the sequences.  Shiny app ""Group My Abs"" was developed to apply biophysical properties for Ab characterization to the NGS data. Several Multiple Sequence Alignment algorithms implemented in the app enable sequence comparability. A method was developed to evaluate differences between comparable sequences and subsequently classify sequences into families. The app provides custom-made and interactive data visualization, enables refined Ab classification in a mathematical manner, considerably increases efficiency and insures reproducibility. This all decreases bias and enables informative decision making during the hit-to-lead stage in biologics drug discovery."
"14","⊕","2018-07-11","14:30","Poster lightning","Johanna Tróchez","TBD","APPLICATION TO ANALYZE THE STUDENT DESERTION","Currently, in Colombia there is a high desertion rate in higher education, so there is great interest in knowing those factors that affect the dropout both at the institutional level and within each program, allowing to implement improvement plans in pro of the student stay. This article proposes an application through the R software and its Shiny library, which allows quantifying the number of dropouts, in relation to the number of students enrolled, obtaining the dropout rate, both at the level of faculties and academic programs, with this information, sample sizes are obtained, to intervene the population and question the causes and reasons for desertion, thus determining key factors that affect student permanence."
"15","⊕","2018-07-11","14:30","Poster lightning","Gabriel Domingo","TBD","Use of R in Antitrust: The case of the Philippine Competition Commission","The use of quantitative analysis of economic data in antitrust is well established. As a new competition agency, the challenges of adopting these analyses at the Philippine Competition Commission is daunting. From competitive enforcement to merger control, the R language empowers our teams of economists in their work.  We use R's flexibility and power to clean and model price and demand data when investigating anti-competitive agreements or mergers, and abuses of dominant position. R allows our analysts to rule out various theories of harm in the market, while re-focusing our efforts on specific areas of concern. We use several packages for data modeling, but dplyr and antitrust is particularly useful.  When defining the geographic market in merger control, we use R's mapping and plotting packages ggmap, ggplot, leaflet and osrm. These tools determine the scope of a market by pinpointing supplier and consumer locations, illustrating routes, and computing distances and travel times.  Finally, we will discuss our efforts to expose more of our economists to R via hands-on training sessions in small teams, and our considerations in using of Rmarkdown to standardize our reports."
"16","⊕","2018-07-11","14:30","Poster lightning","Shian Su","TBD","Glimma: interactive graphics for gene expression analysis","Modern RNA sequencing produces large amounts of data containing tens of thousands of genes. Exploratory and statistical analysis of these genes produces plots or tables with many data points. Glimma is a Bioconductor package that provides interactive versions of common plots from limma, a widely used gene expression analysis package. It allows researchers to explore the statistical summary of their data, with cross-chart interactions providing greater insight into the behaviours of specific genes. Interactivity allows genes of interest to be quickly interrogated on the summary graphic which provides better context than searching through spreadsheets. Cross-chart interactions display useful additional content that would otherwise require manual querying. Glimma produces HTML pages with custom D3 Javascript that handles interactions completely independent from R, the resulting plots to easily be shared with researchers without the need for software dependencies beyond a modern browser."
"17","⊕","2018-07-11","14:30","Poster lightning","Adam Gruer","TBD","Using R and Process Control Charts to Help Hospital Management See The Woods For The Trees","The poster describes a project undertaken with the Head of Surgery to introduce Process Control tools and methods to a broader population of hospital managers and executives.  It was observed that existing reporting of hospital KPIs was encouraging management and other staff to waste time, energy and analytic resources on variances that were not outside the range or random variance. This is an inefficient use of limited resources.  The project involved developing RMarkdown reports and flexdashboards to visualise the variance in the processes being monitored.  CRAN packages such as qichart2 and the tidyverse were selected as useful tools for completing the project as well as consulting literature on Process Control and Lean methodology and contacting other R users in health systems such as the NHS in the UK. Also, important topics such as user interface (UI), user experience (UX) and communication, promotion and education programmes needed to be considered and the poster will highlight how other departments in the hospital with experience in these areas were consulted.  This poster discusses the technical and cultural challenges faced and the solutions that were developed."
"18","⊕","2018-07-11","14:30","Poster lightning","Sharon Lee","TBD","Shiny EMMIXskew for symmetric and asymmetric mixture modelling","EMMIXskew allows users to easily fit univariate and multivariate mixture models and perform inference. Designed with a focus on analyzing data that exhibit non-normal features such as asymmetry and heavy-tails, EMMIXskew offers the options of fitting mixtures of skew normal and skew t-distributions in addition to traditional normal and t-mixture models. These models have received increasing attention in recent years due to their powerfulness and flexibility, as witnessed by many applications in fields ranging from biomedicine, imaging, social sciences, to finance.     In this talk, we introduce the EMMIXskew package and its accompanying Shiny app. Its main functionalities will be demonstrated with real-life applications. We will also cover various useful tools included in the package, such as density calculation, mode calculation, random sample generation, error rate calculation, and contour visualization. With the Shiny interface, analysis using these models will become much more accessible for all practitioners and R users."
"19","⊕","2018-07-11","15:45","Applications in society","Richard Layton","TBD","Data, methods, and metrics for studying student persistence","This paper introduces R users to data and tools for investigating undergraduate persistence metrics using the midfieldr package and its associated data packages. The data are the student records (registrar's data) of approximately 200,000 undergraduates at US institutions from 1990 to 2016. midfieldr provides functions for determining persistence metrics such as graduation rates and for grouping and displaying findings by program, institution, race/ethnicity, and sex. These packages provide an entry to this type of intersectional research for anyone with basic proficiency in R and familiarity with packages from the tidyverse. The goal of the paper is to introduce the packages and to share our data, methods, and metrics for intersectional research in student persistence."
"20","⊕","2018-07-11","15:45","Applications in society","Maria Holcekova","TBD","The dynamic approach to inequality: Using longitudinal trajectories of young women and their parents in determining their socio-economic positions within the contemporary Western society","Intensified globalisation and ensuing increased affluence of Western populations has changed the composition of traditional social class system in England. This does not imply the disappearance of socio-economic (SE) classes and inequalities, but rather their redefinition. Unfortunately, limited research has considered the dynamic nature of SE positions, especially in understanding youth transitions from parental to personal SE classes. I address this problem using nationally representative longitudinal data in the Next Steps 1990 youth cohort study in England. Firstly, I explore the parental transition patterns using longCatPlot. Secondly, I visualise missing data through the missmap function in Amelia and impute these values using random forests in missForest. Thirdly, I employ the daisy function within the cluster to create SE groups based on Gower distance, partitioning around medoids, and silhouette width. Finally, I visualise these results using ggplot2. In doing so, I establish five distinct SE groups of young women that contributes to the understanding of new forms of inequality, and I discuss its implications in terms of access to educational and labour market resources."
"21","⊕","2018-07-11","15:45","Applications in society","Frank C.S. Liu","TBD","The Second Wing of Polls: How Multiple Correspondence Analysis using R Advances Exploring Associated Attitudes in Smaller-Data","Polls and surveys have been used for better forecasting voter preferences and understanding consumer behavior. Academically we employ the strength of these smaller but representative data to confirm theory, including identifying associations between theoretically identified variables. However, researchers who like to explore new patterns for better understanding voters' behavior and attitudes are hardly satisfied by the current practice of survey data analysis. While we turn to bigger data, little attention has been preserved to the value of such smaller data for their potential to achieve the same goal. This talk will demonstrate how the use of ""FactorMineR"" package of R assists exploration of associated concepts and attitudes and patterns that could not be identified by theories in the first place. Implications for the practice of survey data collection and MCA's connection to association rules mining will be discussed."
"22","⊕","2018-07-11","15:45","Applications in society","Meryam Krit","TBD","Modelling Rift Valley Fever","Rift Valley Fever (RVF) is one of the major viral zoonoses in Africa, affecting man and several domestic animal species. The epidemics generally involve a 5 – 15 year cycle marked by abnormally high rainfall (El Niño/Southern Oscillation phenomenon (ENSO)), but there is more and more evidence of inter-epidemic transmission.

A flexible model describing RVF transmission dynamics in six species (human, domestic animal, four vectors) in three different areas will be presented. The model allows for migration, flooding, variation in climate, seasonal effects on vector egg hatching, transhumance, alternative wildlife hosts and increased susceptibility of animals.

User-friendly shiny interface and optimized Rcpp implementation allow the epidemiological researchers to study different scenarios and adapt it to other situations. Application of the model  to the specific situation in Tanzania and Algeria will be discussed."
"23","⊕","2018-07-11","15:45","Big data","Miguel Gonzalez-Fierro","TBD","Spark on demand with AZTK","Apache Spark has become the technology of choice for big data engineering. However, provisioning and maintaining Spark clusters can be challenging and expensive. To address this issue, Microsoft has developed the Azure Distributed Data Engineering Toolkit (AZTK). This talk describes how AZTK Spark clusters can be provisioned in the cloud from a local machine with just a few commands. The clusters are ready to use in under 5 minutes and come with R and R Studio Server pre-installed, allowing R users to start developing Spark applications immediately. Users can apply their own Docker image to customize the Spark environment. ATZK clusters, composed of low priority Azure virtual machines, can be created on demand and run only as needed allowing for large cost savings. We will show a short demo of how the pre-installed sparklyr package can be used to perform data engineering tasks using dplyr syntax, and machine learning using the Spark MLlib library."
"24","⊕","2018-07-11","15:45","Big data","Benjamin Ortiz Ulloa","TBD","Graphs: Datastructures to Query","When people think of graphs, they often think about mapping out social media connections. While graphs are indeed useful for mapping out social networks, they have many other practical applications. Data in the real world resemble vertices and edges more than they resemble rows and columns.  This allows researchers to intuitively grasp the data modeled and stored within a graph. Graph exploration -- also known as graph traversal -- is traditionally done with a traversal language such as Gremlin or Cypher. The functionality of these traversal languages can be duplicated by combining the  igraph and magrittr packages. Traversing a graph in R gives useRs access to a myriad of simple, but powerful algorithms to explore their data sets. 

This talk will show why data should be explored as a graph as well as show how a graph can be traversed in R. I will do this by going through a survey of different graph traversal techniques and by showing the code patterns necessary for each of those techniques."
"25","⊕","2018-07-11","15:45","Big data","Amy Stringer Amy Stringer","TBD","Automated Visualisations for Big Data","The Catlin Seaview project is a large scale reef survey for estimating coral
cover at various locations around the world. Upon re-surveying, it is possible
to track changes in, and predict the future condition of, these reefs over time.
The survey collects hundreds of thousands of images from 2km transects of
reef, which are then sent to a neural network for automatic annotation of reef
communities. Annotations are completed in such a way that the resulting data
have hierarchical spatial scales; going up from image, to transect, to reef, to
subregion, to region.
Here, we present an efficient method for extracting, summarising and visu-
alising the big and complex data with Rmarkdown, dplyr and ggplot2. The use
of Rmarkdown, for report generation, allows for the introduction of parameters
into the construction of the document, allowing for entirely unique reports to be
developed from the one source script. This approach has resulted in a system
for compiling 22 reproducible reports, extracting, summarising and visualising
data at multiple spatial scales, from over 600 000 images, in a matter of minutes;
leaving machines to do the work so that people have time to think."
"26","⊕","2018-07-11","15:45","Big data","Snehalata Huzurbazar","TBD",":  Visualizations to guide dimension reduction for sparse high-dimensional data","Dimension reduction for high-dimensional data is necessary for descriptive data analysis. Most researchers restrict themselves to visualizing 2 or 3 dimensions, however, to understand relationships between many variables in high-dimensional data, more dimensions are needed. This talk presents several new options for visualizing beyond 3D. These are illustrated using 16S rRNA microbiome data. We will show intensity plots developed to highlight the changing contributions of taxa (or subjects) as the number of principal components of the dimension reduction or ordination method  are changed. And secondarily revive Andrews curves, connected with a tour algorithm for viewing 1D projections of multiple principal components, to study group behavior in the high-dimensional data. The plots provide a quick visualization of taxa/subjects that are close to the `center' or that contribute to dissimilarity. They also allow for exploration of patterns among related subjects or taxa not seen in other visualizations. All code is written in R and available on Github."
"27","⊕","2018-07-11","15:45","Statistical methods for high-dimensional biology","Florian Rohart","TBD","mixOmics: An R package for 'omics feature selection and multiple data integration","The mixOmics R-package contains a suite of multivariate methods that model molecular features holistically and statistically integrate diverse types of data (e.g. ‘omics data as transcriptomics, proteomics, metabolomics) to offer an insightful picture of a biological system.
Our two latest frameworks for data integration; N-integration with DIABLO combines different ‘omics datasets measured on the same N samples or individuals; P-integration with MINT combines studies measured on the same P features (e.g., genes) but from independent cohorts of individuals. Both frameworks are introduced in a discriminative context for the identification of relevant and robust molecular signatures across multiple data sets. 
mixOmics is a well-designed, user-friendly package with attractive graphical outputs. It represents a significant contribution to the field of computational biology which has a strong need for such toolkits to mine and integrate datasets."
"28","⊕","2018-07-11","15:45","Statistical methods for high-dimensional biology","Claus Ekstrøm","TBD","Using mommix for fast, large-scale genome-studies in the presence of gene-environment and gene-gene interaction","The majority of disorders and outcomes analysed in genome-wide association studies are believed to multi-factorial and influenced by gene-environment (GxE), gene-gene (GxG) interactions, or both. However, including GxE or GxG increases the computational burden by several orders of magnitude which makes the inclusion of interactions prohibitively cumbersome.

Finite mixtures of regression models provide a flexible modeling framework for many phenomena. Using moment-based estimation of the regression parameters, we develop unbiased estimators with a minimum of assumptions on the mixture components. In particular, only the average regression model for one of the components in the mixture model is needed and no requirements on any of the distributions.

We present a new R package, mommix, for moment-based mixtures of regression models, which implements this new approach for regression mixtures. We illustrate the use of the moment-based mixture of regression models with an application to genome-wide association analysis, and show that the implementation is fast, which makes large-scale genetic analysis with gene-environment and gene-gene interactions feasible."
"29","⊕","2018-07-11","15:45","Statistical methods for high-dimensional biology","Jacob Bergstedt","TBD","Quantifying the immune system with the MMI package","The blood composition of immune cells provide a key indicator of human health and disease. To identify the sources of variation in this composition, we combined standardized flow cytometry and a questionnaire investigating demographical factors in 816 French individuals. The study is published in the Nature immunology article “Natural variation in innate immune cell parameters is preferentially driven by genetic factors”.

To facilitate the study, we developed the R package MMI (https://github.com/jacobbergstedt/mmi), which defines a framework to specify a family of models. Operations are implemented for models in the family, such as doing tests, computing confidence intervals or AIC measures and investigating residuals, the results of which are collected in a MapReduce-like pattern. The software keeps track of variables, parameter transformations, multiple testing and selective inference adjustments.

With the package we release the dataset of 816 observations of 166 immune cell parameters and 44 demographical variables. We hope that this resource can be used to generate hypotheses in immunology, but also be of benefit to the broader community, in education and benchmarking."
"30","⊕","2018-07-11","15:45","Statistical methods for high-dimensional biology","Rudradev Sengupta","TBD","High Performance Computing Using R for High Dimensional Surrogacy Applications in Drug Development","Identification of genetic biomarkers is a primary data analysis task in the context of drug discovery experiments. These experiments consist of several high dimensional datasets which contain information about a set of new drugs under development. This type of data structure introduces the challenge of multi-source data integration which is needed in order to identify the biological pathways related to the new set of drugs under development. In order to process all the information contained in the datasets, high performance computing techniques are required. Currently available R packages, for parallel computing, are not optimized for a specific setting and data structure. We proposed a new “master-slave” framework, for data analysis using R in parallel, in a computer cluster. The proposed data analysis workflow is applied to a multi-source high dimensional drug discovery dataset and a performance comparison is made between the new framework and existing R packages for parallel computing. Different configuration settings,  for parallel programming in R, are presented  to show that the computation time, for the specific application under consideration, can be reduced by 534.62%."
"31","⊕","2018-07-11","15:45","Complex models and performance","Danielle Dean","TBD","R, Julia, Python Deep Learning Framework Comparison","We extend the Python & Julia deep-learning examples (see repo: https://github.com/ilkarman/DeepLearningFrameworks) to also include R deep-learning frameworks such as MXNet and Keras. The aim of the repo is (1) to create an easy environment for translating models (VGG Training, ResNet Inference, LSTM Training) across different frameworks and across different platforms. The model-examples in this repo have matured though multiple PRs from the open-source community (including authors of deep-learning packages) to ensure they are (i) optimised and (ii) standardised across frameworks. This allows an easy and valid comparison of what it is like to train a CNN in R compared to Julia or Python and we believe is a key-advantage compared to other examples. (2) The repository has attracted a lot of attention from the open-source community and framework authors, which means that further examples (including those in R) will be seen and verified by a large amount of people. As the repository is expanded we hope that it is possible to leverage the learnings from one framework into another."
"32","⊕","2018-07-11","15:45","Complex models and performance","Hong Ooi","TBD","SAR: a practical, rating-free hybrid recommender for large data","SAR (Smart Adaptive Recommendations) is a fast, scalable, adaptive algorithm for personalised recommendations, based on user transaction history and item descriptions. From an end-user's point of view, SAR has the following benefits. First, it is relatively easy to explain to a nontechnical audience, compared to algorithms that rely on matrix factorisation. Second, it doesn't use subjective ratings, which can be unreliable given the pervasive influence of social media: a product that gets review-bombed after going viral will have meaningless ratings. Third, it takes event times into account, thus allowing recommendations to evolve with changing trends. Finally, it does well in recommending cold items, by building a regression model on item data. In this talk I'll discuss two separate implementations of SAR: a standalone one in base R, and an interface to an Azure web service. The former allows easy experimentation and evaluation, while the latter provides more options and is scalable to production-scale datasets."
"33","⊕","2018-07-11","15:45","Complex models and performance","Fang Zhou","TBD","Jumpstart Machine Learning with Pre-Trained Models","As a community many of us are building models (statistical and machine learning) that address various scenarios. At conferences, like UseR!, but also across many academic conferences, researchers publish papers that introduce new algorithms with implementations available on GitHub, implemented in R and Python and other frameworks. The community also makes available pre-trained models, especially deep learning models, to demonstrate or highlight the capabilities of the algorithm. To foster a healthy collaboration and for the reproducibility of key results, it is important that fellow data scientists can read about a new algorithm or approach and to be able to try it out very quickly to see whether it meets their needs. While pre-trained machine learning models are available, they are often difficult to set up and evaluate. We are exploring a framework to make this process simpler by making it easy for any data scientist to investigate and evaluate pre-trained models. We will share our learnings and our proposal to enable data scientists to quickly discover pre-trained models that will support them to be able to get from zero to hero in short order."
"34","⊕","2018-07-11","15:45","Complex models and performance","Joshua Bon","TBD","Semi-infinite programming in R","Semi-infinite programming (SIP) is an optimisation problem where, generally, there are a finite number of variables but an infinite number of (parametrised) constraints. We show how to optimise simple SIP problems in R, in particular  SIP for shape-constrained regression. The package sipr (under development) will be presented and collaboration sought from those in attendance."
"35","⊕","2018-07-11","15:45","Robust methods","Kasey Jones","TBD","rollmatch: An R Package for Rolling Entry Matching","The gold standard of experimental research is the randomized-control trial. However, many healthcare interventions are implemented without a randomized control group for practical or ethical reasons. Propensity score matching (PSM) is a popular method for approximating a randomized experiment from observational data by matching members of a treatment group to similar candidates of a control group that did not receive the intervention. However, traditional PSM is not designed for studies that enroll participants on a rolling basis, a common practice in healthcare interventions where delaying treatment may impact patient health. Rolling Entry Matching (REM) is a new matching method that addresses the rolling entry problem by selecting comparison group members who are similar to intervention members with respect to both static, unchanging characteristics (e.g., race, DOB) and dynamic characteristics that change over time (e.g., health conditions, health care use). This presentation will introduce both REM and rollmatch, an R package for performing REM to assess rolling entry interventions."
"36","⊕","2018-07-11","15:45","Robust methods","Charles T. Gray","TBD","varameta': Meta-analysis of medians","Meta-analyses bring together summary statistics from multiple sources; which are reported in various ways. In this talk I will introduce the `varameta` package, which will provide an underlying (and reproducible) framework for understanding skewed meta-analysis data and reporting. The `varameta` package accompanies a couple of theoretical meta-analysis papers I am working on for meta-analysis of medians. This package is also designed to be an adjunct to the well-established conventional `metafor` package. In this package I have collated the existing techniques for meta-analysing skewed data reported as medians and interquartile ranges (or ranges). The `varameta` package will also include reproducible simulation documentation (in .Rmd) of existing methods in meta-analysis benchmarked against our proposed estimator for the standard error of the sample median. In this talk I will demonstrate the package, the web interface for clinicians, as well as how it can be implemented in everyday systematic reviews."
"37","⊕","2018-07-11","15:45","Robust methods","Sevvandi Kandanaarachchi","TBD","Does normalizing your data affect outlier detection?","It is common practice to normalize data before using an outlier detection method. But which method should we use to normalize the data? Does it matter? The short answer is yes, it does. The choice of normalization method may increase or decrease the effectiveness of an outlier detection method on a given dataset. In this talk we investigate this triangular relationship between datasets, normalization methods and outlier detection methods."
"38","⊕","2018-07-11","15:45","Robust methods","Priyanga Dilini Talagala","TBD","oddstream and stray: Anomaly Detection in Streaming Temporal Data with R","This work introduces two R packages, oddstream and stray for detecting anomalous series within a large collection of time series in the context of non-stationary streaming data. 
    In `oddstream` we define an anomaly as an observation that is very unlikely given the recent distribution of a given system. This package provides a framework that provides early detection of anomalous behaviour within a large collection of streaming time series.  This includes a novel approach that adapts to non-stationarity. 
    In `stray` we define an anomaly as an observation that deviates markedly from the majority with a large distance gap.  This package provides a framework to detect anomalies in high dimensional data. Then the  framework is extended to identify anomalies in streaming temporal data.
    The proposed algorithms use time series features as inputs, and approaches based on extreme value theory for the model building process. Using various synthetic and real datasets, we demonstrate the wide applicability and usefulness of our proposed frameworks. We show that the proposed algorithms can work well in the presence of noisy non-stationary data within multiple classes of time series."
